2023-03-10 22:51:12 *NORMAL*     Started on Windows 10.0.0.19045 x64. Driver status: 0xC0000225
2023-03-10 22:51:24 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-10 22:51:24 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\FirstLight-Internal 0x1c3\build\FirstLight-Internal 0x1c3.dll'
2023-03-10 22:53:09 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-10 22:53:09 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\FirstLight-Internal 0x1c3\build\FirstLight-Internal 0x1c3.dll'
2023-03-10 22:53:27 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-10 22:53:27 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\FirstLight-Internal 0x1c3\build\FirstLight-Internal 0x1c3.dll'
2023-03-10 22:54:21 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-10 22:54:21 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\FirstLight-Internal 0x1c3\build\FirstLight-Internal 0x1c3.dll'
2023-03-10 22:58:28 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-10 22:58:28 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\FirstLight-Internal 0x1c3\build\FirstLight-Internal 0x1c3.dll'
2023-03-10 23:00:26 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-10 23:00:26 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\FirstLight-Internal 0x1c3\build\FirstLight-Internal 0x1c3.dll'
2023-03-10 23:01:42 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-10 23:01:42 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\FirstLight-Internal 0x1c3\build\FirstLight-Internal 0x1c3.dll'
2023-03-10 23:03:38 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-10 23:03:38 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\FirstLight-Internal 0x1c3\build\FirstLight-Internal 0x1c3.dll'
2023-03-10 23:06:05 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-10 23:06:05 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\FirstLight-Internal 0x1c3\build\FirstLight-Internal 0x1c3.dll'
2023-03-10 23:08:21 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-10 23:08:21 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\FirstLight-Internal 0x1c3\build\FirstLight-Internal 0x1c3.dll'
2023-03-10 23:10:08 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
